[2026-03-11T22:32:16.153Z] REMOVED: Picnic Technologies | Java Developer | https://jobs.picnic.app/en/vacancies/JY064KFR/technology_engineering/java-developer/amsterdam/north/holland/netherlands | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Picnic Technologies | Machine Learning Engineer | https://jobs.picnic.app/en/vacancies/JTKEGV2W/technology_engineering/machine-learning-engineer/amsterdam/north/holland/netherlands | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Picnic Technologies | Senior Machine Learning Engineer | https://jobs.picnic.app/en/vacancies/JTAF4DWR/technology_engineering/senior-machine-learning-engineer/amsterdam/north/holland/netherlands | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Picnic Technologies | Senior DevOps Engineer | https://jobs.picnic.app/en/vacancies/J79HBUUG/technology_engineering/senior-devops-engineer/amsterdam/north/holland/netherlands | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Kaufland.de | (Junior) PHP Engineer (all genders) | https://kaufland-ecommerce.com/en/job/junior-php-engineer-all-genders/ | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Kaufland.de | Security Engineer (all genders) | https://kaufland-ecommerce.com/en/job/security-engineer-all-genders/ | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Kaufland.de | Software Engineer (all genders) - Site Reliability Engineering | https://kaufland-ecommerce.com/en/job/software-engineer-all-genders-site-reliability-engineering/ | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Kaufland.de | Senior Frontend Engineer (all genders) | https://kaufland-ecommerce.com/en/job/senior-frontend-engineer-all-genders/ | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Kaufland.de | Senior Platform Engineer (all genders) - Persist | https://kaufland-ecommerce.com/en/job/senior-platform-engineer-all-genders-persist/ | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: QuantCo | Data Scientist (Causal Inference/Machine Learning) | https://jobs.lever.co/quantco-/7cf84f8c-eb21-4af5-97e2-6331b350a40b | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Sendcloud | Senior API Engineer | https://jobs.sendcloud.com/jobs/7469374002?gh_jid=7469374002 | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Sendcloud | Lead Engineer (people manager) | https://jobs.sendcloud.com/jobs/6617544002?gh_jid=6617544002 | HTTP 404
[2026-03-11T22:32:16.153Z] REMOVED: Catawiki | Senior UX Designer | https://catawiki.careers/vacancies/senior-ux-designer-1069172-5376253 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Robust Intelligence | Senior Machine Learning Engineer, AI Security | https://jobs.lever.co/robustintelligence/cd0fcaa4-a98c-4b3a-8141-6135c00b2e41 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Robust Intelligence | Senior Software Engineer, Cloud | https://jobs.lever.co/robustintelligence/073ea6ee-6c26-425f-aa3e-35ccfcdac655 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Fishlabs GmbH | QA Tester (Games) (m/f/d) | https://jobs.eu.lever.co/dsfishlabs/736bc4de-e91e-4559-9da9-7107d094d697 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Fishlabs GmbH | Build Engineer (m/f/d) | https://jobs.eu.lever.co/dsfishlabs/b642228b-d82c-4d35-bd96-6de7c6583b89 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Robust Intelligence | Software Engineering Director | https://jobs.lever.co/robustintelligence/5de2b666-98f7-4a09-9086-785dbf386912 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Fishlabs GmbH | Senior QA Tester (Games) (m/f/d) | https://jobs.eu.lever.co/dsfishlabs/d2a96b95-bc3a-43b6-94cc-855b4a93a732 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Fishlabs GmbH | (Regular/Senior) UI/UX Designer (m/f/d) | https://jobs.eu.lever.co/dsfishlabs/dfb7d5f1-3006-46ba-b58f-fd493e9e73c8 | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Crytek | QA Tester | https://www.crytek.com/career/offers/overview/frankfurt-onsite-/qa-customer-support/qa-tester | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Crytek | Marketing Lead | https://www.crytek.com/career/offers/overview/frankfurt-remote/marketing-pr-biz-dev/marketing-lead | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Crytek | QA Automation Engineer - Online | https://www.crytek.com/career/offers/overview/frankfurt-onsite-/qa-customer-support/qa-automation-engineer---online | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Crytek | C++ Buildpipeline Programmer | https://www.crytek.com/career/offers/overview/frankfurt-onsite-/programming-engineering/c-buildpipeline-programmer | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: qwist | Senior Sales Manager | https://qwist.jobs.personio.com/job/1452832?language=en%3Flanguage%3D&display=en | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Bigpoint GmbH | Junior Unity Developer (m/f/d) | https://bigpoint.jobs.personio.de/job/1345752?language=en&display=en | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Bigpoint GmbH | Associate PHP Developer (m/f/d) | https://bigpoint.jobs.personio.de/job/1356656?language=en&display=en | HTTP 404
[2026-03-11T22:32:16.154Z] REMOVED: Bigpoint GmbH | Senior Game Developer (m/f/d) | https://bigpoint.jobs.personio.de/job/1358226?language=en&display=en | HTTP 404
